id;text;is_correct;gearsurveyquestion_id
1;Recopila y organiza la información.;FALSE;1
2;Analiza la información.;FALSE;1
3;Utiliza la información para definir sus planes, proyectos o programas.;FALSE;1
4;Utiliza la información para definir sus estrategias de servicio al ciudadano, rendición de cuentas, trámites y participación ciudadana en la gestión.;FALSE;1
5;Actualiza la información.;FALSE;1
6;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;1
7;Ninguna de las anteriores.;FALSE;1
8;El propósito para el cual fue creada;FALSE;2
9;Las necesidades o problemas de sus grupos de valor;FALSE;2
10;Las propuestas o iniciativas de los grupos de interés;FALSE;2
11;Los bienes y/o servicios para atender las necesidades o problemas de sus grupos de valor;FALSE;2
12;Otro. ¿Cuál?;FALSE;2
13;Ingrese la URL documento o evidencia de las respuestas seleccionadas:;FALSE;2
14;Ninguna de las anteriores;FALSE;2
15;Si, y cuenta con las evidencias:;FALSE;3
16;Parcialmente, y cuenta con las evidencias:;FALSE;3
17;No;FALSE;3
18;Si, y cuenta con las evidencias:;FALSE;4
19;Parcialmente, y cuenta con las evidencias:;FALSE;4
20;No;FALSE;4
21;Si, y cuenta con las evidencias:;FALSE;5
22;Parcialmente, y cuenta con las evidencias:;FALSE;5
23;No;FALSE;5
24;Si, y cuenta con las evidencias:;FALSE;6
25;Parcialmente, y cuenta con las evidencias:;FALSE;6
26;No;FALSE;6
27;Si, y cuenta con las evidencias:;FALSE;7
28;Parcialmente, y cuenta con las evidencias:;FALSE;7
29;No;FALSE;7
30;Si, y cuenta con las evidencias:;FALSE;8
31;Parcialmente, y cuenta con las evidencias:;FALSE;8
32;No;FALSE;8
33;Si, y cuenta con las evidencias:;FALSE;9
34;Parcialmente, y cuenta con las evidencias:;FALSE;9
35;No;FALSE;9
36;Si, y cuenta con las evidencias:;FALSE;10
37;Parcialmente, y cuenta con las evidencias:;FALSE;10
38;No;FALSE;10
39;Incluye objetivos estratégicos articulados con las líneas de acción, objetivos, programas o proyectos del plan de desarrollo;FALSE;11
40;Contempla metas que cuantifican los objetivos estratégicos de la entidad;FALSE;11
41;Define actividades que permiten alcanzar las metas y objetivos definidos;FALSE;11
42;Establece responsables de la ejecución de las actividades;FALSE;11
43;Contempla tiempos de ejecución de las actividades;FALSE;11
44;Identifica recursos (financieros, humanos, físicos, tecnológicos) asignados para lograr los objetivos definidos;FALSE;11
45;Incluye indicadores de seguimiento y evaluación;FALSE;11
46;Contempla un enfoque étnico diferencial en los objetivos estratégicos, programas o proyectos del plan de desarrollo;FALSE;11
47;Incluye lineamientos para el manejo o mitigación de los riesgos de gestión, seguridad digital y corrupción;FALSE;11
48;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;11
49;No se ha definido;FALSE;11
50;Contempla objetivos articulados con el plan estratégico de la entidad;FALSE;12
51;Incluye metas que viabilizan los objetivos del plan;FALSE;12
52;Describe actividades que permiten alcanzar las metas y objetivos del plan;FALSE;12
53;Establece responsables de la ejecución de las actividades;FALSE;12
54;Contempla tiempos de ejecución de las actividades;FALSE;12
55;Identifica recursos (financieros, humanos, físicos, tecnológicos) asignados para lograr los objetivos definidos;FALSE;12
56;Contiene indicadores de seguimiento al cumplimiento de las metas;FALSE;12
57;Se aprueba en el Consejo de Gobierno;FALSE;12
58;Contiene los proyectos para cada vigencia según lo especificado en el plan indicativo cuatrienal;FALSE;12
59;Identifica los mecanismos a través de los cuales se facilita y promueve la participación de las personas en los asuntos de su competencia;FALSE;12
60;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;12
61;No se ha definido;FALSE;12
62;Seguridad digital;FALSE;13
63;Participación ciudadana en la gestión;FALSE;13
64;Rendición de cuentas;FALSE;13
65;Trámites;FALSE;13
66;Servicio al ciudadano;FALSE;13
67;Transparencia y lucha contra la corrupción;FALSE;13
68;Comité Interno de Archivo;FALSE;13
69;Otros. ¿Cuáles?;FALSE;13
70;Ingrese la URL, documento o evidencia de las respuestas seleccionadas:;FALSE;13
71;Ninguno de los anteriores;FALSE;13
72;Si, y cuenta con las evidencias:;FALSE;14
73;Parcialmente, y cuenta con las evidencias:;FALSE;14
74;No;FALSE;14
75;Si, y cuenta con las evidencias:;FALSE;15
76;No;FALSE;15
77;Si, y cuenta con las evidencias:;FALSE;16
78;No;FALSE;16
79;Si. Especifique cuáles son esos indicadores;FALSE;17
80;No;FALSE;17
81;Si. Indique las metas y el porcentaje de cumplimiento de las metas del Plan Nacional de Desarrollo en la última vigencia fiscal y las misionales de la entidad;FALSE;19
82;No;FALSE;19
83;Inferior al 2% en funcionamiento;FALSE;20
84;Superior al 2% en funcionamiento. Indique el porcentaje:;FALSE;20
85;Inferior al 15% de inversión;FALSE;20
86;Superior al 15% de inversión. Indique el porcentaje:;FALSE;20
87;Si;FALSE;21
88;No;FALSE;21
89;Porcentaje de reservas constituidas en 2017:;FALSE;22
90;Porcentaje de reservas constituidas en 2018:;FALSE;22
91;Si;FALSE;23
92;No;FALSE;23
93;Impuestos:;FALSE;24
94;Viáticos:;FALSE;24
95;Contratos de prestación de servicios:;FALSE;24
96;Publicidad:;FALSE;24
97;Valor total del presupuesto inicial de los ingresos de la vigencia (en pesos):;FALSE;25
98;Valor total del presupuesto final de los ingresos de la vigencia (en pesos):;FALSE;25
99;Si, y cuenta con las evidencias:;FALSE;26
