id;text;description;correct_answer;gearsurvey_id;gearsurveyquestiontype_id
1;Para identificar los grupos de valor y sus características (sociales, geográficas, económicas o las que la entidad considere de acuerdo con su misión), así como los grupos de interés (organizaciones sociales, academia, investigadores y las asociaciones) la entidad:;Pregunta 1;0;1;3
2;La entidad previo al ejercicio de planeación, definió su direccionamiento estratégico teniendo en cuenta los siguientes aspectos:;Pregunta 2;0;1;3
3;Las decisiones en el ejercicio de planeación se toman con base en: Identificación de las necesidades de los grupos de valor;Pregunta 3.1;0;1;3
4;Las decisiones en el ejercicio de planeación se toman con base en: Recomendaciones del equipo directivo y sus equipos de trabajo;Pregunta 3.2;0;1;3
5;Las decisiones en el ejercicio de planeación se toman con base en: La evaluación y retroalimentación  ciudadana realizada en las actividades de rendición de cuentas;Pregunta 3.3;0;1;3
6;Las decisiones en el ejercicio de planeación se toman con base en:  Resultados de las auditorías internas y externas;Pregunta 3.4;0;1;3
7;Las decisiones en el ejercicio de planeación se toman con base en: Resultados de la evaluación de la gestión de riesgos;Pregunta 3.5;0;1;3
8;Las decisiones en el ejercicio de planeación se toman con base en: Resultados de la evaluación de la gestión financiera;Pregunta 3.6;0;1;3
9;Las decisiones en el ejercicio de planeación se toman con base en: Medición del desempeño en los  periodos anteriores;Pregunta 3.7;0;1;3
10;Las decisiones en el ejercicio de planeación se toman con base en: Medición de la satisfacción de los grupos de valor en periodos anteriores;Pregunta 3.8;0;1;3
11;El plan estratégico de la entidad:;Pregunta 4;0;1;3
12;El plan de acción anual institucional de la entidad:;Pregunta 5;0;1;3
13;La entidad cuenta con un acto administrativo a través del cual se crean o modifican las funciones del Comité de Gestión y Desempeño Institucional o el que haga sus veces, donde se incluyan los temas y funciones de:;Pregunta 6;0;1;3
14;¿Los planes, proyectos o programas de la entidad cuentan con recursos presupuestados (independientemente de su fuente)?;Pregunta 7;0;1;3
15;¿La entidad hace seguimiento a las políticas de seguridad definidas por el Comité Directivo del SIIF Nación?;Pregunta 8;0;1;3
16;¿La entidad evalúa los resultados de la gestión presupuestal del año anterior para la elaboración del anteproyecto de presupuesto?;Pregunta 9;0;1;3
17;¿La entidad cuenta con indicadores que permitan relacionar el cumplimiento de su ejecución presupuestal versus las metas misionales traducidas en la entrega final de bienes y servicios?;Pregunta 10;0;1;3
18;¿Cuál fue el porcentaje de ejecución presupuestal (entiéndase como obligación/apropiación) de la entidad en la última vigencia fiscal?;Pregunta 11;0;1;1
19;¿Coincide el progreso y cumplimiento de las metas misionales de la entidad con la ejecución de las metas del Plan Nacional de Desarrollo?;Pregunta 12;0;1;3
20;El porcentaje de reservas presupuestales de la entidad en la vigencia evaluada ha sido:;Pregunta 13;0;1;3
21;¿La gestión presupuestal y de planificación de la entidad ha contribuido a reducir el porcentaje de reservas constituido frente a las apropiaciones de la vigencia?;Pregunta 14;0;1;3
22;Frente a las reservas constituidas indique:;Pregunta 15;0;1;3
23;¿Anualmente la entidad ha seguido las directrices ordenadas por el Gobierno Nacional sobre austeridad del gasto y es verificable en su programación presupuestal?;Pregunta 16;0;1;3
24;Frente al cumplimiento de las directrices de austeridad, indique el porcentaje de reducción de gastos (con respecto a la vigencia 2017), en los siguientes rubros:;Pregunta 17;0;1;3
